Title,Description,FileName
hbk,"Hawkins, Bradu, Kass's Artificial Data",hbk.csv
heart,Heart Catherization Data,heart.csv
kootenay,Waterflow Measurements of Kootenay River in Libby and Newgate,kootenay.csv
lactic,Lactic Acid Concentration Measurement Data,lactic.csv
milk,Daudin's Milk Composition Data,milk.csv
pension,Pension Funds Data,pension.csv
phosphor,Phosphorus Content Data,phosphor.csv
pilot,Pilot-Plant Data,pilot.csv
possumDiv,Possum Diversity Data,possumDiv.csv
pulpfiber,Pulp Fiber and Paper Data,pulpfiber.csv
radarImage,Satellite Radar Image Data from near Munich,radarImage.csv
salinity,Salinity Data,salinity.csv
starsCYG,Hertzsprung-Russell Diagram Data of Star Cluster CYG OB1,starsCYG.csv
telef,Number of International Calls from Belgium,telef.csv
toxicity,Toxicity of Carboxylic Acids Data,toxicity.csv
vaso,Vaso Constriction Skin Data Set,vaso.csv
wagnerGrowth,Wagner's Hannover Employment Growth Data,wagnerGrowth.csv
wood,Modified Data on Wood Specific Gravity,wood.csv
AMSsurvey,American Math Society Survey Data,AMSsurvey.csv
Adler,Experimenter Expectations,Adler.csv
Angell,Moral Integration of American Cities,Angell.csv
Anscombe,U. S. State Public-School Expenditures,Anscombe.csv
Baumann,Methods of Teaching Reading Comprehension,Baumann.csv
Bfox,Canadian Women's Labour-Force Participation,Bfox.csv
Blackmoor,Exercise Histories of Eating-Disordered and Control Subjects,Blackmoor.csv
Burt,Fraudulent Data on IQs of Twins Raised Apart,Burt.csv
CanPop,Canadian Population Data,CanPop.csv
Chile,Voting Intentions in the 1988 Chilean Plebiscite,Chile.csv
Chirot,The 1907 Romanian Peasant Rebellion,Chirot.csv
Cowles,Cowles and Davis's Data on Volunteering,Cowles.csv
Davis,Self-Reports of Height and Weight,Davis.csv
DavisThin,Davis's Data on Drive for Thinness,DavisThin.csv
Depredations,Minnesota Wolf Depredation Data,Depredations.csv
Duncan,Duncan's Occupational Prestige Data,Duncan.csv
Ericksen,The 1980 U.S. Census Undercount,Ericksen.csv
Florida,Florida County Voting,Florida.csv
Freedman,Crowding and Crime in U. S. Metropolitan Areas,Freedman.csv
Friendly,Format Effects on Recall,Friendly.csv
Ginzberg,Data on Depression,Ginzberg.csv
Greene,Refugee Appeals,Greene.csv
Guyer,Anonymity and Cooperation,Guyer.csv
Hartnagel,Canadian Crime-Rates Time Series,Hartnagel.csv
Highway1,Highway Accidents,Highway1.csv
Leinhardt,Data on Infant-Mortality,Leinhardt.csv
Mandel,Contrived Collinear Data,Mandel.csv
Migration,Canadian Interprovincial Migration Data,Migration.csv
Moore,"Status, Authoritarianism, and Conformity",Moore.csv
Mroz,U.S. Women's Labor-Force Participation,Mroz.csv
OBrienKaiser,O'Brien and Kaiser's Repeated-Measures Data,OBrienKaiser.csv
Ornstein,Interlocking Directorates Among Major Canadian Firms,Ornstein.csv
Pottery,Chemical Composition of Pottery,Pottery.csv
Prestige,Prestige of Canadian Occupations,Prestige.csv
Quartet,Four Regression Datasets,Quartet.csv
Robey,Fertility and Contraception,Robey.csv
SLID,Survey of Labour and Income Dynamics,SLID.csv
Sahlins,Agricultural Production in Mazulu Village,Sahlins.csv
Salaries,Salaries for Professors,Salaries.csv
Soils,Soil Compositions of Physical and Chemical Characteristics,Soils.csv
States,Education and Related Statistics for the U.S. States,States.csv
Transact,Transaction data,Transact.csv
UN,GDP and Infant Mortality,UN.csv
USPop,Population of the United States,USPop.csv
Vocab,Vocabulary and Education,Vocab.csv
WeightLoss,Weight Loss Data,WeightLoss.csv
Womenlf,Canadian Women's Labour-Force Participation,Womenlf.csv
Wool,Wool data,Wool.csv
agriculture,European Union Agricultural Workforces,agriculture.csv
animals,Attributes of Animals,animals.csv
chorSub,Subset of C-horizon of Kola Data,chorSub.csv
flower,Flower Characteristics,flower.csv
plantTraits,Plant Species Traits Data,plantTraits.csv
pluton,Isotopic Composition Plutonium Batches,pluton.csv
ruspini,Ruspini Data,ruspini.csv
votes.repub,Votes for Republican Candidate in Presidential Elections,votes.repub.csv
xclara,Bivariate Data Set with 3 Clusters,xclara.csv
affairs,affairs,affairs.csv
azcabgptca,azcabgptca,azcabgptca.csv
azdrg112,azdrg112,azdrg112.csv
azpro,azpro,azpro.csv
azprocedure,azprocedure,azprocedure.csv
badhealth,badhealth,badhealth.csv
fasttrakg,fasttrakg,fasttrakg.csv
fishing,fishing,fishing.csv
lbw,lbw,lbw.csv
lbwgrp,lbwgrp,lbwgrp.csv
loomis,loomis,loomis.csv
mdvis,mdvis,mdvis.csv
medpar,medpar,medpar.csv
nuts,nuts,nuts.csv
rwm,rwm,rwm.csv
rwm1984,rwm1984,rwm1984.csv
rwm5yr,rwm5yr,rwm5yr.csv
ships,ships,ships.csv
smoking,smoking,smoking.csv
titanic,titanic,titanic.csv
titanicgrp,titanicgrp,titanicgrp.csv
Accident,Ship Accidents,Accident.csv
Airline,Cost for U.S. Airlines,Airline.csv
Airq,Air Quality for Californian Metropolitan Areas,Airq.csv
Benefits,Unemployement of Blue Collar Workers,Benefits.csv
Bids,Bids Received By U.S. Firms,Bids.csv
BudgetFood,Budget Share of Food for Spanish Households,BudgetFood.csv
BudgetItaly,Budget Shares for Italian Households,BudgetItaly.csv
BudgetUK,Budget Shares of British Households,BudgetUK.csv
Bwages,Wages in Belgium,Bwages.csv
CPSch3,Earnings from the Current Population Survey,CPSch3.csv
CRANpackages,Growth of CRAN,CRANpackages.csv
Capm,Stock Market Data,Capm.csv
Car,Stated Preferences for Car Choice,Car.csv
Caschool,The California Test Score Data Set,Caschool.csv
Catsup,Choice of Brand for Catsup,Catsup.csv
Cigar,Cigarette Consumption,Cigar.csv
Cigarette,The Cigarette Consumption Panel Data Set,Cigarette.csv
Clothing,Sales Data of Men's Fashion Stores,Clothing.csv
Computers,Prices of Personal Computers,Computers.csv
Cracker,Choice of Brand for Crakers,Cracker.csv
Crime,Crime in North Carolina,Crime.csv
DM,DM Dollar Exchange Rate,DM.csv
Diamond,Pricing the C's of Diamond Stones,Diamond.csv
Doctor,Number of Doctor Visits,Doctor.csv
DoctorAUS,Doctor Visits in Australia,DoctorAUS.csv
DoctorContacts,Contacts With Medical Doctor,DoctorContacts.csv
Earnings,Earnings for Three Age Groups,Earnings.csv
Electricity,Cost Function for Electricity Producers,Electricity.csv
Fair,Extramarital Affairs Data,Fair.csv
Fatality,Drunk Driving Laws and Traffic Deaths,Fatality.csv
Fishing,Choice of Fishing Mode,Fishing.csv
Forward,Exchange Rates of US Dollar Against Other Currencies,Forward.csv
FriendFoe,Data from the Television Game Show Friend Or Foe ?,FriendFoe.csv
Garch,Daily Observations on Exchange Rates of the US Dollar Against Other Currencies,Garch.csv
Gasoline,Gasoline Consumption,Gasoline.csv
Griliches,Wage Datas,Griliches.csv
Grunfeld,Grunfeld Investment Data,Grunfeld.csv
HC,Heating and Cooling System Choice in Newly Built Houses in California,HC.csv
HI,Health Insurance and Hours Worked By Wives,HI.csv
Hdma,The Boston HDMA Data Set,Hdma.csv
Heating,Heating System Choice in California Houses,Heating.csv
Hedonic,Hedonic Prices of Cencus Tracts in Boston,Hedonic.csv
Housing,Sales Prices of Houses in the City of Windsor,Housing.csv
Icecream,Ice Cream Consumption,Icecream.csv
Journals,Economic Journals Dat Set,Journals.csv
Kakadu,Willingness to Pay for the Preservation of the Kakadu National Park,Kakadu.csv
Ketchup,Choice of Brand for Ketchup,Ketchup.csv
Klein,Klein's Model I,Klein.csv
LaborSupply,Wages and Hours Worked,LaborSupply.csv
Labour,Belgian Firms,Labour.csv
MCAS,The Massashusets Test Score Data Set,MCAS.csv
Males,Wages and Education of Young Males,Males.csv
Mathlevel,Level of Calculus Attained for Students Taking Advanced Micro-economics,Mathlevel.csv
MedExp,Structure of Demand for Medical Care,MedExp.csv
Metal,Production for SIC 33,Metal.csv
Mode,Mode Choice,Mode.csv
ModeChoice,Data to Study Travel Mode Choice,ModeChoice.csv
Mofa,"International Expansion of U.S. Mofa's (majority-owned Foreign Affiliates in Fire (finance, Insurance and Real Estate)",Mofa.csv
Mroz,Labor Supply Data,Mroz.csv
MunExp,Municipal Expenditure Data,MunExp.csv
NaturalPark,Willingness to Pay for the Preservation of the Alentejo Natural Park,NaturalPark.csv
Nerlove,"Cost Function for Electricity Producers, 1955",Nerlove.csv
OFP,Visits to Physician Office,OFP.csv
Oil,Oil Investment,Oil.csv
PSID,Panel Survey of Income Dynamics,PSID.csv
Participation,Labor Force Participation,Participation.csv
PatentsHGH,Dynamic Relation Between Patents and R&D,PatentsHGH.csv
PatentsRD,"Patents, R&D and Technological Spillovers for a Panel of Firms",PatentsRD.csv
Pound,Pound-dollar Exchange Rate,Pound.csv
Produc,Us States Production,Produc.csv
RetSchool,Return to Schooling,RetSchool.csv
SP500,Returns on Standard & Poor's 500 Index,SP500.csv
Schooling,Wages and Schooling,Schooling.csv
Somerville,Visits to Lake Somerville,Somerville.csv
Star,Effects on Learning of Small Class Sizes,Star.csv
Strike,Strike Duration Data,Strike.csv
StrikeDur,Strikes Duration,StrikeDur.csv
StrikeNb,Number of Strikes in Us Manufacturing,StrikeNb.csv
SumHes,The Penn Table,SumHes.csv
Tobacco,Households Tobacco Budget Share,Tobacco.csv
Train,Stated Preferences for Train Traveling,Train.csv
TranspEq,Statewide Data on Transportation Equipment Manufacturing,TranspEq.csv
Treatment,Evaluating Treatment Effect of Training on Earnings,Treatment.csv
Tuna,Choice of Brand for Tuna,Tuna.csv
USFinanceIndustry,US Finance Industry Profits,USFinanceIndustry.csv
USclassifiedDocuments,Official Secrecy of the United States Government,USclassifiedDocuments.csv
USstateAbbreviations,Standard abbreviations for states of the United States,USstateAbbreviations.csv
UStaxWords,Number of Words in US Tax Law,UStaxWords.csv
